tag,Mean MAE,Median MAE
P,5.540508713353831,5.044734340993338
PC,5.399032788333475,4.832565046448752
PCS,6.137716071728095,5.162039267429775
PCSB,5.958156205371458,5.1658957883197845
PCSBI,5.905387872735063,5.118890585235649
PCSBIG,5.820152390371249,5.412468314147
