tag,Mean MAE,Median MAE
P,4.372738263370803,4.16804529547445
PC,5.135446973573569,5.145390026986342
PCS,5.055431423750378,5.008455916500773
PCSB,5.097109803709127,5.016625173912428
PCSBI,5.323594042077188,6.12437461592138
PCSBIG,5.278492305337569,5.442712376960661
