tag,Mean MAE,Median MAE
P,4.310245730546319,4.0651634911412495
PC,3.9278855107034945,3.4412181630539203
PCS,3.738335105752342,3.283972185743492
PCSB,3.486382603633404,3.1790847136615663
PCSBI,3.5833698006788777,3.4167223039132346
PCSBIG,3.2602533189547125,3.137133795502754
