tag,Mean MAE,Median MAE
P,4.476497314912473,4.004265662629216
PC,4.030323638466953,3.4306346855232053
PCS,3.6033634595710886,3.5868943725852094
PCSB,3.1848162202721806,3.0277243984750477
PCSBI,3.1196859717813243,2.903882897781573
PCSBIG,2.9290080426085208,2.906343670654074
