,mean,mean,mean,std,std,std
bucket,Short,Medium,Long,Short,Medium,Long
model,,,,,,
Ridge,3.1200612788186755,5.69637845786341,6.336358925564107,1.9929153628930023,2.461784356710819,2.1722142225153696
RF,3.6336410835293043,4.246716581290963,4.3135706630082655,1.4230221982872708,1.46528693650883,1.8051936944034155
KNN,3.9335130019994984,3.8779288158664107,3.769330592527584,1.6155934257310431,1.438319740008316,1.3724831280691518
LSTM,6.545616701590231,6.880765310851643,6.864366492450606,2.7886414311052716,3.154215443722579,3.091759378318497
