tag,Mean MAE,Median MAE
P,4.417454632585123,4.130333453295958
PC,3.976345034336074,3.6423830973737537
PCS,3.644060119426888,3.1270469092686266
PCSB,3.3846677066971713,3.0619732877029815
PCSBI,3.4933376861853733,3.3971845452543854
PCSBIG,3.1387261926492327,3.045601980739528
