date,Business Bay,DAMAC HILLS 2,DAMAC HILLS,TOWN SQUARE,DownTown Dubai,Dubai Creek Harbour,Dubai Marina,Dubai South Residential District,Dubai Sports City,Al Furjan,International City Phase 1,Jumeirah Lakes Towers,Jumeirah Village Circle,Jumeirah Village Triangle,Jumeriah Beach Residence  - JBR,Mudon,Palm Jumeirah,Silicon Oasis,The Greens,Global
2015-09-06,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015-09-13,99.24091315750849,100.0,100.1785748343174,100.0,99.51121280828563,100.05184414828372,99.64336203119049,100.0,100.532428267846,100.16114103336646,99.74555515395606,101.13761543400295,101.44081705366416,99.7646912664617,99.29607194829102,100.36821257745119,98.98249458568003,100.37827569266584,100.3451710658464,101.54674947123073
2015-09-20,98.5238534054118,100.0,100.3571496686348,100.0,99.35727369376995,100.05184414828372,100.47583398372879,100.0,100.40374246111286,100.25722076962748,100.02892377067518,102.74470759332152,102.74140911055017,99.68908569456089,98.21116127517273,100.7670680516614,97.89584399156823,100.75930267527515,100.54113434246979,99.74552765882265
2015-09-27,99.19139762130243,100.0,100.53141937551764,100.0,98.88459384775649,100.05184414828372,102.21219621054078,100.0,99.84774903586201,100.48342310009946,100.82055386310047,104.04504948300118,103.18670891673555,99.45377696102256,97.59120374893514,101.16605739245135,98.82121664653482,101.14527207209032,100.5612450628351,98.61913670156065
2015-10-04,100.70134367840382,100.0,100.69057021551745,100.0,98.85275197235194,100.05184414828372,103.88121859480086,100.0,99.84601245422718,100.59652426533543,101.54465499733223,104.49285343522332,103.23844124536627,98.84487387871646,96.83524191018805,101.60147935957224,99.83380375266158,101.1089794330027,100.5174829341018,97.35874241703762
2015-10-11,103.00078933050105,100.0,100.67114622119986,100.0,98.98549141356743,100.05184414828372,104.90732629669428,100.0,99.37562867287815,100.59652426533543,102.34427978864392,103.58515678986731,102.92763033211286,98.07875808231124,96.01461385385117,101.46578048106463,100.92903382990256,100.63408849764186,100.39142766013562,96.17125402679883
2015-10-18,105.09040389971203,100.0,100.63905681971994,100.0,98.8851813153886,100.05184414828372,104.839905141336,100.0,98.91531323431626,100.59652426533543,102.85260150427702,101.25602263031897,102.46790814147711,97.31140235452688,95.66013448310734,100.87601871421315,102.02426390714359,100.47364485251956,100.42108031670512,96.65059807585665
2015-10-25,105.94313013363154,100.0,100.62014203402366,100.0,98.70386281998134,100.05184414828372,104.08729092391165,100.0,98.48191481109406,100.59652426533543,103.30240443365861,100.65450060027274,101.41708297640616,96.53086706344877,95.29681498202835,100.24656132315064,103.11949398438456,100.39709649741751,100.42108031670512,97.22766849652399
2015-11-01,105.96250346763354,100.0,100.61380933044248,100.04546426285089,98.28844412191464,100.0683457405716,102.82716068561761,100.0,97.95350877276991,100.59652426533543,104.06099722896336,100.05915766829132,100.64398505075316,95.72479523440542,95.14137780908746,99.61370706762831,104.36119861527197,100.3019064381558,100.2550312522629,97.7058487308856
2015-11-08,105.93651614504087,100.0,100.67688176194329,100.37242376915844,97.66079991739299,100.12088795456293,101.93645592484266,100.0,98.00155845432741,100.18092073228195,104.8643568957505,99.56133915323942,99.90936576885272,95.09324072275783,95.14137780908746,99.08065034727082,103.81034049592056,100.1241243314786,100.21713475030279,99.5442671964124
2015-11-15,106.08671987424823,100.0,100.88356491215595,100.8389041147846,97.29675074477055,100.0592742915714,101.06239889126994,100.0,98.2215807936625,99.71993881963711,105.8053561900828,101.00060970367028,99.17764612535032,94.72098308050127,95.22495410673976,99.03229941201614,103.68098975061059,99.68071699378072,100.10781419186219,101.5340042810214
2015-11-22,105.05841132670426,100.0,101.30957810306643,101.15945111702203,97.32098378459413,99.98502053147455,100.2198313118756,100.0,99.85445115560893,98.9025412497455,106.25124352420785,101.39133201757534,98.91482138480161,94.66012361934399,95.21263448739242,99.12679248396049,102.85811574063868,99.21444956138672,100.02775880019597,102.3634748849924
2015-11-29,103.24332801218867,100.0,101.75810757337649,102.32400975443534,97.95338704180843,99.89426517908979,100.68727295806106,100.0,100.47494071201766,98.08514367985389,106.61893082735236,102.12456253332978,98.39579242884834,94.557638754521,95.17031498802747,99.33463708226412,101.71980865728665,98.73003199879797,100.14340512954148,101.83891237712955
2015-12-06,101.177507375636,100.0,102.13723190860465,103.4936148174983,98.77422901510542,99.76746920500158,101.64008358442945,100.0,99.71876156191476,97.26774610996227,106.85745512125438,103.56800963963795,98.12855821640022,94.29524508090495,95.05739442836109,99.42913015420845,100.13700471990346,98.23206376164015,100.10124623983536,101.47261163651193
2015-12-13,98.90535831633454,100.01191780821918,102.37377782987134,104.73482047383523,99.13899275172267,99.7548291078962,103.54225118270548,100.0,98.34357405738578,96.45034854007066,106.79818763876696,104.4538865363271,97.75665906064351,94.12597327808766,94.86089757104243,99.48450908489727,98.44562456812758,97.70072184397732,100.0927699005677,97.39585709552372
