date,sem_pca1_smooth,sem_pca2_smooth,sem_pca3_smooth,sem_pca4_smooth,sem_pca5_smooth,sem_pca6_smooth,sem_pca7_smooth,sem_pca8_smooth,nsi,nsi_value,nsi_diff1,nsi_vol4,nsi_lag1,nsi_lag4,nsi_ma4,nsi_ema4
2015-04-05,-0.078132227063179,0.0446489602327346,0.0638609379529953,-0.0116809243336319,-0.0619137175381183,-0.0617936179041862,-0.0065026730298995,-0.0138327004387974,0.7726953029632568,0.7726953029632568,,,,,0.7726953029632568,0.7726953029632568
2015-04-12,-0.0708600722253322,0.0561211660504341,0.0498178644105792,0.0068310678936541,-0.0658709581941366,-0.0646278992295265,-0.0177147023379802,-0.0080263933632522,0.6920562386512756,0.6920562386512756,-0.0806390643119812,0.05702042920354002,0.7726953029632568,,0.7323757708072662,0.7222958877682686
2015-04-19,-0.050554228122346,0.0384612362040206,0.0553855501301586,0.0219322557654231,-0.0612035661563277,-0.0548889384418726,-0.0199489414319396,-0.0134917786112055,0.49510905891656876,0.49510905891656876,-0.19694717973470688,0.14279645956308712,0.6920562386512756,,0.6532868668437004,0.6063842403949523
2015-04-26,-0.0144660431710071,0.028286178540904,0.0728931962829083,0.0203399114469066,-0.0556460143364965,-0.045878084950149,-0.0291955584026873,-0.0080409549013711,0.4371857475489378,0.4371857475489378,-0.05792331136763096,0.1589616599978767,0.49510905891656876,,0.5992615870200098,0.5286275800796882
2015-05-03,-0.0058032619826029,0.0348969540170859,0.0685339099483564,0.0217788898683153,-0.0602716925110667,-0.041072194866091,-0.0378473588194698,0.0012646512056235,0.3253555875271559,0.3253555875271559,-0.11183016002178192,0.15353985967659456,0.4371857475489378,0.7726953029632568,0.4874266581609845,0.4404631141911853
2015-05-10,-0.0201130166411818,0.0374933527231635,0.0657252176028303,0.0288868049647007,-0.0547670069492235,-0.0399200828763097,-0.0338641498840227,0.0043004008238902,0.2506652530282736,0.2506652530282736,-0.0746903344988823,0.10984786863354379,0.3253555875271559,0.6920562386512756,0.377078911755234,0.36082853898521067
2015-05-17,-0.0039262598586375,0.0362664094740445,0.0623522483950126,0.0211000352461179,-0.0599050437618754,-0.0473237199907079,-0.0326596737329624,0.0137353906009369,0.3660685792565346,0.3660685792565346,0.115403326228261,0.07794637721981167,0.2506652530282736,0.49510905891656876,0.34481879184022546,0.36298491996020177
2015-05-24,-0.0044196145101245,0.0321604692014065,0.0603937605819789,0.0272154800893195,-0.0536050838129345,-0.0504357716021142,-0.0347264762517932,0.0042269916739703,0.41679732501506805,0.41679732501506805,0.05072874575853348,0.07017180334206258,0.3660685792565346,0.4371857475489378,0.339721686206758,0.38487759485246675
2015-05-31,-0.0016226342058131,0.0317767588446939,0.0500551069638313,0.0376111491234034,-0.0494832090365525,-0.0493883071247778,-0.0327450977323439,-0.0004033249569784,0.37993788719177246,0.37993788719177246,-0.03685943782329559,0.07173654838843034,0.41679732501506805,0.3253555875271559,0.35336726112291217,0.3828815967258524
2015-06-07,-0.0165751922394002,0.032229174023398,0.0513052293065018,0.0404278005508235,-0.057467258153294,-0.050434509742541,-0.0263484804670602,0.0008133449941132,0.38227009028196335,0.38227009028196335,0.0023322030901908875,0.021572435294764238,0.37993788719177246,0.2506652530282736,0.3862684704363346,0.38263550613258435
2015-06-14,-0.0120409872185429,0.0227402362181598,0.0494844993086635,0.0462678076816951,-0.0577704990402402,-0.0421830126442492,-0.0313240425972554,0.000140184805509,0.3229067549109459,0.3229067549109459,-0.059363335371017456,0.038888925219034746,0.38227009028196335,0.3660685792565346,0.37547801434993744,0.35865701237450154
2015-06-21,-0.0155472056056924,0.0254609788773157,0.0492339551292245,0.0531688520208347,-0.0613521955059845,-0.0388391007268017,-0.0342505554141491,-2.4501424389869036e-05,0.3392521142959595,0.3392521142959595,0.01634535938501358,0.029657831953726923,0.3229067549109459,0.41679732501506805,0.3560917116701603,0.3508781201879795
2015-06-28,-0.0213312393367397,0.0292522126160451,0.0451950544009277,0.0367873810154255,-0.0676130227896387,-0.0513328485189388,-0.0440338530488136,0.0018497692953045,0.42204461991786957,0.42204461991786957,0.0827925056219101,0.044634302103102264,0.3392521142959595,0.37993788719177246,0.36661839485168457,0.3793819480573442
2015-07-05,-0.0195393622699454,0.0240281458862793,0.046824738852458,0.0228347226178089,-0.0578294713901451,-0.0471268993615068,-0.0381113121130194,-0.006928466204569,0.4930195212364197,0.4930195212364197,0.07097490131855011,0.07883013983664834,0.42204461991786957,0.38227009028196335,0.39430575259029865,0.424872625718265
2015-07-12,-0.0166219856948308,0.0183098400792946,0.0632266032999692,0.0210832533425895,-0.0494668912738441,-0.0289352551250924,-0.0285059017578947,-0.0069888279382245,0.4927465543150902,0.4927465543150902,-0.0002729669213294983,0.07308433039804108,0.4930195212364197,0.3229067549109459,0.4367657024413347,0.4520349684827088
2015-07-19,0.0070005636038922,0.010750706315714,0.0592196355078773,0.008082440709647,-0.0278067034155046,-0.0239009562238543,-0.0215068746021024,0.0058826407411992,0.3286100681871176,0.3286100681871176,-0.1641364861279726,0.07785539182953341,0.4927465543150902,0.3392521142959595,0.43410519091412425,0.4026510766258137
2015-07-26,0.008502916948078,0.0242355560009425,0.0659776512652545,-0.0127328922590577,-0.0317920970836223,-0.0185971149539592,-0.0164925099207651,0.0067836083281546,0.3363064732402563,0.3363064732402563,0.007696405053138733,0.09267462879659456,0.3286100681871176,0.42204461991786957,0.41267065424472094,0.37610874254109156
2015-08-02,0.0120861220054374,-0.0003430725314893,0.0775278323599633,0.0135944485000098,-0.0266201344485837,-0.0183793323973764,-0.008816509488283,-0.0013014497368577,0.235632186755538,0.235632186755538,-0.10067428648471832,0.10659952942991079,0.3363064732402563,0.4930195212364197,0.3483238206245005,0.3199124129300699
2015-08-09,0.0188135362053694,-0.0109711884781792,0.0821553145444647,0.0340841069352554,-0.0171321699419648,-0.028733207401431,-0.0030272873914648,0.0087293193582365,0.08369609527289867,0.08369609527289867,-0.1519360914826393,0.11751555433427836,0.235632186755538,0.4927465543150902,0.24606120586395264,0.22542012788777677
2015-08-16,-0.0051976404369525,0.0117716439537652,0.0643924436561643,0.0268929315777966,-0.0284770056435785,-0.0322592241384163,0.0060527604447318,0.0054903613431323,0.22348476201295853,0.22348476201295853,0.13978866674005985,0.10386251357449065,0.08369609527289867,0.3286100681871176,0.21977987932041287,0.22464595323279749
2015-08-23,-0.0049757664522982,0.011647533546459,0.0543653215581839,0.0376478807847345,-0.0299809794754311,-0.0285279332818888,0.0007039265968958,-0.0022128799724431,0.16936377435922623,0.16936377435922623,-0.0541209876537323,0.0691812487829626,0.22348476201295853,0.3363064732402563,0.17804420460015535,0.20253259658375566
2015-08-30,0.0052550193086246,0.0071560410230357,0.0583215464582309,0.0342977050025712,-0.0249743967420227,-0.0227130368183664,-0.0076663026589163,0.002450100663553,0.16348423808813095,0.16348423808813095,-0.005879536271095276,0.0575975140128588,0.16936377435922623,0.235632186755538,0.1600072174333036,0.18691304759834074
2015-09-06,0.0169710641841576,0.0177453327723641,0.0655589321356203,0.0279769815783317,-0.0305511322037833,-0.0146954083418029,-0.0063491299377983,0.0092410527996969,0.295004989951849,0.295004989951849,0.13152075186371803,0.06107528097455673,0.16348423808813095,0.08369609527289867,0.21283444110304117,0.2301501659963356
