date,nsi_value,nsi_diff1,nsi_vol4,nsi_lag1,nsi_lag4,nsi_ma4,nsi_ema4,sem_pca1_smooth,sem_pca2_smooth,sem_pca3_smooth,sem_pca4_smooth,sem_pca5_smooth,sem_pca6_smooth,sem_pca7_smooth,sem_pca8_smooth
2015-04-05,0.11688311688311755,,,,,0.11688311688311755,0.11688311688311755,-0.04414111375808716,0.04523392766714096,-0.043691232800483704,0.0020646676421165466,-0.021972529590129852,-0.03973539173603058,0.03831601142883301,0.05672523379325867
2015-04-12,0.15010822510822544,0.033225108225107894,0.023493699331630723,0.11688311688311755,,0.1334956709956715,0.13764880952380995,-0.040639248490333554,0.052303336560726166,-0.02052795849740505,0.0016784362494945526,-0.03355361185967922,-0.028061752580106257,0.030257526785135266,0.06235820800065994
2015-04-19,0.23732705203293455,0.08721882692470911,0.06220634091616092,0.15010822510822544,,0.16810613134142582,0.18850505570193477,-0.017064232528209683,0.04006895199418068,-0.014164490643888708,0.016889250501990315,-0.02773974936455488,-0.02249031344428658,0.03047750927507877,0.056834147125482556
2015-04-26,0.2613286223580342,0.02400157032509967,0.06893736849213565,0.23732705203293455,,0.19141175409557792,0.2219717683196275,0.02412207600474358,0.03732642523944378,-0.020150113305076954,0.01817722641676664,-0.029469552595168348,-0.019814228197559708,0.02002443995326757,0.05016257219016551
2015-05-03,0.3514260249554364,0.09009740259740218,0.08277386364099086,0.2613286223580342,0.11688311688311755,0.25004748111365765,0.2781195201568104,0.030711579063534736,0.040633771143853664,-0.01761206480655819,0.016415048552304502,-0.03618444745354354,-0.007875556748546654,0.010051627341657873,0.05318302459269761
2015-05-10,0.3889260249554364,0.03749999999999998,0.07210050201836314,0.3514260249554364,0.15010822510822544,0.3097519310754604,0.3246112397453854,0.015532479104697704,0.043225616664439435,-0.014576205250676717,0.022468980887457725,-0.029212368490584187,-0.00852624146988615,0.005276576497778293,0.05275912218019365
2015-05-17,0.3821386946386947,-0.006787330316741669,0.05872910876839652,0.3889260249554364,0.23732705203293455,0.34595484172690044,0.3482849336195448,0.030310149781018494,0.03765231923811137,-0.01114873853419162,0.01192945443565398,-0.04063983566920086,-0.019737822047824035,-0.0012525776296481513,0.04610052598424255
2015-05-24,0.38213869463869476,5.551115123125783e-17,0.016795142809264235,0.3821386946386947,0.2613286223580342,0.37615735979706555,0.3620577687700463,0.030311706716296072,0.03572991355843096,-0.005601443065611084,0.012901471849106994,-0.030977533287327358,-0.01724297845102157,0.0064752132705114766,0.04969477131997793
2015-05-31,0.3461538461538465,-0.035984848484848286,0.019389459391740055,0.38213869463869476,0.3514260249554364,0.374839315096668,0.35563143710666767,0.030791624524329,0.034846313846217836,0.008898017754768043,0.015284378212766122,-0.029905005885724832,-0.012274180905180811,0.010377006154048813,0.05065848611319734
2015-06-07,0.30273647920706753,-0.043417366946778946,0.037731849968392385,0.3461538461538465,0.3889260249554364,0.35329192865957587,0.33434474143815257,0.016462374624305692,0.034572350617721744,0.007761036110848482,0.022877585607224096,-0.03527264156986795,-0.018260966032058346,0.0136299888238826,0.04874988672899476
2015-06-14,0.26260269994285335,-0.04013377926421419,0.051933496887560354,0.30273647920706753,0.3821386946386947,0.3234079299856155,0.3055434345465406,0.022606362131919074,0.025133524433307394,0.010251850214651432,0.02997320513150828,-0.03277121162747011,-0.00993858918797696,0.014183229899591508,0.04716519956228226
2015-06-21,0.28641222375237735,0.023809523809524002,0.035212471998730566,0.26260269994285335,0.38213869463869476,0.29947631226403615,0.29787425609669405,0.019626484770953582,0.027840641008687793,0.013123775128459775,0.03364758115664339,-0.03689757546717193,-0.006410723568759431,0.015148360468278738,0.04692536553845766
