region,model,horizon,best_mae_mean
Jumeirah Village Triangle,ARIMA,14,5.143441126750494
Jumeirah Village Triangle,ARIMA,18,6.440055823324753
Jumeirah Village Triangle,ARIMA,22,6.8776222447763775
Jumeirah Village Triangle,ARIMA,26,7.453829392398956
Jumeirah Village Triangle,ARIMA,30,8.62553961640718
Jumeirah Village Triangle,ARIMA,34,9.422966544414841
Jumeriah Beach Residence  - JBR,ARIMA,2,0.35382523228987073
Jumeriah Beach Residence  - JBR,ARIMA,6,1.096305401261499
Jumeriah Beach Residence  - JBR,ARIMA,10,1.766655577388496
Jumeriah Beach Residence  - JBR,ARIMA,14,2.3493831582651468
Jumeriah Beach Residence  - JBR,ARIMA,18,2.965634794947527
Jumeriah Beach Residence  - JBR,ARIMA,22,3.464047378117299
Jumeriah Beach Residence  - JBR,ARIMA,26,3.914968566294987
Jumeriah Beach Residence  - JBR,ARIMA,30,4.07430828112506
Jumeriah Beach Residence  - JBR,ARIMA,34,4.8001407299981675
Mudon,ARIMA,2,0.170761958734583
Mudon,ARIMA,6,0.6057605345820286
Mudon,ARIMA,10,0.9077720992637816
Mudon,ARIMA,14,1.1928349430949357
Mudon,ARIMA,18,1.4729893139496297
Mudon,ARIMA,22,1.7172556126017233
Mudon,ARIMA,26,1.9891055345559105
Mudon,ARIMA,30,2.2233282688073777
Mudon,ARIMA,34,2.6081531086457566
Palm Jumeirah,ARIMA,2,1.0197840716205018
Palm Jumeirah,ARIMA,6,3.495922419966219
Palm Jumeirah,ARIMA,10,4.615576837833802
Palm Jumeirah,ARIMA,14,4.992639657051029
Palm Jumeirah,ARIMA,18,5.592216824991589
Palm Jumeirah,ARIMA,22,5.955707979425981
Palm Jumeirah,ARIMA,26,5.7131309293632695
Palm Jumeirah,ARIMA,30,5.521012763499382
Palm Jumeirah,ARIMA,34,7.2312465263995
Silicon Oasis,ARIMA,2,0.07558510400604927
Silicon Oasis,ARIMA,6,0.26885199480652794
Silicon Oasis,ARIMA,10,0.6348546691179118
Silicon Oasis,ARIMA,14,0.7694377472191835
Silicon Oasis,ARIMA,18,0.8179725225976912
Silicon Oasis,ARIMA,22,0.8720396271089675
Silicon Oasis,ARIMA,26,1.0162480664907132
Silicon Oasis,ARIMA,30,1.0365999729610287
Silicon Oasis,ARIMA,34,1.1998333851288447
The Greens,ARIMA,2,0.17350277105832224
The Greens,ARIMA,6,0.6552308879758926
The Greens,ARIMA,10,0.9990923769099171
The Greens,ARIMA,14,1.3524004750985612
The Greens,ARIMA,18,1.6331671026105947
The Greens,ARIMA,22,1.8796112669827427
The Greens,ARIMA,26,2.126768715751507
The Greens,ARIMA,30,2.4446316423680354
The Greens,ARIMA,34,3.0334161052983064
