region,model,horizon,best_mae_mean
Jumeirah Village Triangle,RF,10,5.94527357835686
Jumeirah Village Triangle,RF,14,6.242058381588984
Jumeirah Village Triangle,RF,18,6.4648876149228105
Jumeirah Village Triangle,RF,22,6.601517218049679
Jumeirah Village Triangle,RF,26,6.123236348249443
Jumeirah Village Triangle,RF,30,6.369087085773714
Jumeirah Village Triangle,RF,34,6.892048457840789
Jumeriah Beach Residence  - JBR,RF,2,1.1685800903695118
Jumeriah Beach Residence  - JBR,RF,6,1.8283759728502205
Jumeriah Beach Residence  - JBR,RF,10,2.4672877869800027
Jumeriah Beach Residence  - JBR,RF,14,3.0126890040837555
Jumeriah Beach Residence  - JBR,RF,18,3.6046256273482316
Jumeriah Beach Residence  - JBR,RF,22,3.7705209485913103
Jumeriah Beach Residence  - JBR,RF,26,3.5328115311537998
Jumeriah Beach Residence  - JBR,RF,30,3.235501982779577
Jumeriah Beach Residence  - JBR,RF,34,3.4575271831125622
Mudon,RF,2,1.2093293352822418
Mudon,RF,6,1.4200252649425362
Mudon,RF,10,1.658068327492216
Mudon,RF,14,1.8529494658364314
Mudon,RF,18,1.8541988990725848
Mudon,RF,22,1.8704225951500035
Mudon,RF,26,2.252267621451577
Mudon,RF,30,2.395422577412321
Mudon,RF,34,2.4075058347228477
Palm Jumeirah,RF,2,3.350037948948414
Palm Jumeirah,RF,6,5.458770948727368
Palm Jumeirah,RF,10,4.913013558447257
Palm Jumeirah,RF,14,4.901273119319178
Palm Jumeirah,RF,18,5.475636651210017
Palm Jumeirah,RF,22,5.140595587966232
Palm Jumeirah,RF,26,5.366278410128471
Palm Jumeirah,RF,30,5.399702658526556
Palm Jumeirah,RF,34,5.52847514695706
Silicon Oasis,RF,2,0.7199798355799262
Silicon Oasis,RF,6,0.9108054883877802
Silicon Oasis,RF,10,1.0151051911459081
Silicon Oasis,RF,14,1.0550312028972972
Silicon Oasis,RF,18,1.04976791632332
Silicon Oasis,RF,22,1.1030567401423288
Silicon Oasis,RF,26,1.0539345037863561
Silicon Oasis,RF,30,0.9607795198432758
Silicon Oasis,RF,34,0.932363862456709
The Greens,RF,2,1.2678902709159225
The Greens,RF,6,1.5041530027622732
The Greens,RF,10,1.46977404185321
The Greens,RF,14,1.49114177049597
The Greens,RF,18,1.703757161269856
The Greens,RF,22,1.9654466334437397
The Greens,RF,26,1.7766993280009977
The Greens,RF,30,1.9655649527161665
The Greens,RF,34,2.0769961980629907
