region,model,horizon,best_mae_mean
Jumeirah Village Circle,Naive-12Mean,6,2.4904584322880963
Jumeirah Village Circle,Naive-12Mean,10,2.9397837551668218
Jumeirah Village Circle,Naive-12Mean,14,3.309128777794348
Jumeirah Village Circle,Naive-12Mean,18,3.57418150858432
Jumeirah Village Circle,Naive-12Mean,22,3.8822949277677514
Jumeirah Village Circle,Naive-12Mean,26,3.9693183858602152
Jumeirah Village Circle,Naive-12Mean,30,3.976265712165541
Jumeirah Village Circle,Naive-12Mean,34,4.213203775501152
Jumeirah Village Triangle,Naive-12Mean,2,3.4328459082665526
Jumeirah Village Triangle,Naive-12Mean,6,4.722846129430583
Jumeirah Village Triangle,Naive-12Mean,10,5.858460557964156
Jumeirah Village Triangle,Naive-12Mean,14,6.771689367585594
Jumeirah Village Triangle,Naive-12Mean,18,7.558193045527448
Jumeirah Village Triangle,Naive-12Mean,22,8.13494615272427
Jumeirah Village Triangle,Naive-12Mean,26,8.619186462116822
Jumeirah Village Triangle,Naive-12Mean,30,9.192754212224054
Jumeirah Village Triangle,Naive-12Mean,34,10.264033856547393
Jumeriah Beach Residence  - JBR,Naive-12Mean,2,1.6252441016417756
Jumeriah Beach Residence  - JBR,Naive-12Mean,6,2.2219669754488223
Jumeriah Beach Residence  - JBR,Naive-12Mean,10,2.7650072098399665
Jumeriah Beach Residence  - JBR,Naive-12Mean,14,3.2701174490107108
Jumeriah Beach Residence  - JBR,Naive-12Mean,18,3.7394302328777242
Jumeriah Beach Residence  - JBR,Naive-12Mean,22,4.154263508610859
Jumeriah Beach Residence  - JBR,Naive-12Mean,26,4.468773530060999
Jumeriah Beach Residence  - JBR,Naive-12Mean,30,4.5560664544275795
Jumeriah Beach Residence  - JBR,Naive-12Mean,34,4.608709848919872
Mudon,Naive-12Mean,2,0.8663495290212498
Mudon,Naive-12Mean,6,1.151743234386807
Mudon,Naive-12Mean,10,1.4054834203872912
Mudon,Naive-12Mean,14,1.6806275121205423
Mudon,Naive-12Mean,18,1.9548626474347928
Mudon,Naive-12Mean,22,2.201332850106307
Mudon,Naive-12Mean,26,2.4334715260936415
Mudon,Naive-12Mean,30,2.641398895079602
Mudon,Naive-12Mean,34,3.0561540944249384
Palm Jumeirah,Naive-12Mean,2,4.061794577338597
