system:index,ndbi,region,week_start,.geo
69,,international_city_phase_1,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,,international_city_phase_1,2016-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,,international_city_phase_1,2016-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,,international_city_phase_1,2016-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,,international_city_phase_1,2016-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,,international_city_phase_1,2016-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,,international_city_phase_1,2016-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,,international_city_phase_1,2016-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,,international_city_phase_1,2016-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,,international_city_phase_1,2016-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,,international_city_phase_1,2016-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,,international_city_phase_1,2016-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,,international_city_phase_1,2016-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,,international_city_phase_1,2016-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,,international_city_phase_1,2016-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,,international_city_phase_1,2016-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,,international_city_phase_1,2016-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,,international_city_phase_1,2016-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,,international_city_phase_1,2016-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,,international_city_phase_1,2016-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,,international_city_phase_1,2016-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,,international_city_phase_1,2016-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,,international_city_phase_1,2016-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
