system:index,ndbi,region,week_start,.geo
66,,dubai_south_residential_district,2016-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,,dubai_south_residential_district,2016-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,,dubai_south_residential_district,2016-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,,dubai_south_residential_district,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,,dubai_south_residential_district,2016-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,,dubai_south_residential_district,2016-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,,dubai_south_residential_district,2016-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,,dubai_south_residential_district,2016-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,,dubai_south_residential_district,2016-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,,dubai_south_residential_district,2016-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,,dubai_south_residential_district,2016-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,,dubai_south_residential_district,2016-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,,dubai_south_residential_district,2016-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,,dubai_south_residential_district,2016-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,,dubai_south_residential_district,2016-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,,dubai_south_residential_district,2016-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,,dubai_south_residential_district,2016-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,,dubai_south_residential_district,2016-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,,dubai_south_residential_district,2016-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,,dubai_south_residential_district,2016-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,,dubai_south_residential_district,2016-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,,dubai_south_residential_district,2016-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,,dubai_south_residential_district,2016-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,,dubai_south_residential_district,2016-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,,dubai_south_residential_district,2016-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,,dubai_south_residential_district,2016-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,,dubai_south_residential_district,2017-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,,dubai_south_residential_district,2017-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,,dubai_south_residential_district,2017-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,,dubai_south_residential_district,2017-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,,dubai_south_residential_district,2017-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,,dubai_south_residential_district,2017-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,,dubai_south_residential_district,2017-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,,dubai_south_residential_district,2017-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,,dubai_south_residential_district,2017-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,,dubai_south_residential_district,2017-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,,dubai_south_residential_district,2017-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,,dubai_south_residential_district,2017-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,,dubai_south_residential_district,2017-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,,dubai_south_residential_district,2017-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,,dubai_south_residential_district,2017-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,,dubai_south_residential_district,2017-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,,dubai_south_residential_district,2017-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,,dubai_south_residential_district,2017-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,,dubai_south_residential_district,2017-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,,dubai_south_residential_district,2017-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,,dubai_south_residential_district,2017-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,,dubai_south_residential_district,2017-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,,dubai_south_residential_district,2017-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,,dubai_south_residential_district,2017-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,,dubai_south_residential_district,2017-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,,dubai_south_residential_district,2017-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,,dubai_south_residential_district,2017-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,,dubai_south_residential_district,2017-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,,dubai_south_residential_district,2017-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,,dubai_south_residential_district,2017-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,,dubai_south_residential_district,2017-08-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,,dubai_south_residential_district,2017-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,,dubai_south_residential_district,2017-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,,dubai_south_residential_district,2017-08-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,,dubai_south_residential_district,2017-08-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,,dubai_south_residential_district,2017-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,,dubai_south_residential_district,2017-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,,dubai_south_residential_district,2017-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,,dubai_south_residential_district,2017-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,,dubai_south_residential_district,2017-10-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,,dubai_south_residential_district,2017-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,,dubai_south_residential_district,2017-10-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,,dubai_south_residential_district,2017-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,,dubai_south_residential_district,2017-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,,dubai_south_residential_district,2017-11-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,,dubai_south_residential_district,2017-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,,dubai_south_residential_district,2017-11-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,,dubai_south_residential_district,2017-11-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,,dubai_south_residential_district,2017-12-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,,dubai_south_residential_district,2017-12-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,,dubai_south_residential_district,2017-12-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,,dubai_south_residential_district,2017-12-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,,dubai_south_residential_district,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,,dubai_south_residential_district,2018-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
