region,model,horizon,best_mae_mean
Jumeirah Village Circle,KNN,26,3.0024066120530546
Jumeirah Village Circle,KNN,30,2.8467258789502674
Jumeirah Village Circle,KNN,34,3.270329261125796
Jumeirah Village Triangle,KNN,2,4.757000821268472
Jumeirah Village Triangle,KNN,6,5.565094610489659
Jumeirah Village Triangle,KNN,10,6.052952435068194
Jumeirah Village Triangle,KNN,14,5.954505173843619
Jumeirah Village Triangle,KNN,18,5.891464667682092
Jumeirah Village Triangle,KNN,22,5.943027485674262
Jumeirah Village Triangle,KNN,26,5.747675583294462
Jumeirah Village Triangle,KNN,30,6.564770099045535
Jumeirah Village Triangle,KNN,34,6.856429359003531
Jumeriah Beach Residence  - JBR,KNN,2,1.5483027327766439
Jumeriah Beach Residence  - JBR,KNN,6,2.01433520527506
Jumeriah Beach Residence  - JBR,KNN,10,2.546265350338239
Jumeriah Beach Residence  - JBR,KNN,14,3.0595029462566394
Jumeriah Beach Residence  - JBR,KNN,18,3.0163393198419635
Jumeriah Beach Residence  - JBR,KNN,22,3.015456900373501
Jumeriah Beach Residence  - JBR,KNN,26,2.9679273316076014
Jumeriah Beach Residence  - JBR,KNN,30,2.886013601961724
Jumeriah Beach Residence  - JBR,KNN,34,3.0898829019183567
Mudon,KNN,2,1.3458595964331983
Mudon,KNN,6,1.4046669087402168
Mudon,KNN,10,1.392814520300309
Mudon,KNN,14,1.346519477226895
Mudon,KNN,18,1.3930923706182263
Mudon,KNN,22,1.5545318180893701
Mudon,KNN,26,1.652134047411744
Mudon,KNN,30,1.548917048147876
Mudon,KNN,34,1.5774145011984357
Palm Jumeirah,KNN,2,4.199915867741756
Palm Jumeirah,KNN,6,4.989831618552611
Palm Jumeirah,KNN,10,5.000405137928807
Palm Jumeirah,KNN,14,5.205000002030658
Palm Jumeirah,KNN,18,5.532445350806243
Palm Jumeirah,KNN,22,5.283532906696822
Palm Jumeirah,KNN,26,5.111358232028062
Palm Jumeirah,KNN,30,5.1930083968937675
Palm Jumeirah,KNN,34,5.498846000213046
Silicon Oasis,KNN,2,0.8112651951847047
Silicon Oasis,KNN,6,0.833602530651755
Silicon Oasis,KNN,10,0.9402910613189548
Silicon Oasis,KNN,14,0.9529165578381089
Silicon Oasis,KNN,18,0.9017847326243649
Silicon Oasis,KNN,22,0.9098779796810277
Silicon Oasis,KNN,26,0.9322320805184621
Silicon Oasis,KNN,30,0.8875039216413473
