region,model,horizon,best_mae_mean
Jumeirah Village Circle,XGB,26,2.6812418154532525
Jumeirah Village Circle,XGB,30,2.859599850138125
Jumeirah Village Circle,XGB,34,3.1803406468569637
Jumeirah Village Triangle,XGB,2,4.78183379816832
Jumeirah Village Triangle,XGB,6,6.136573981796959
Jumeirah Village Triangle,XGB,10,6.203312247125458
Jumeirah Village Triangle,XGB,14,5.64786958206599
Jumeirah Village Triangle,XGB,18,5.947803854026737
Jumeirah Village Triangle,XGB,22,6.015784889440841
Jumeirah Village Triangle,XGB,26,5.7449257135270475
Jumeirah Village Triangle,XGB,30,6.179016770886514
Jumeirah Village Triangle,XGB,34,7.0702893983775095
Jumeriah Beach Residence  - JBR,XGB,2,1.388660782625855
Jumeriah Beach Residence  - JBR,XGB,6,2.2986406318176296
Jumeriah Beach Residence  - JBR,XGB,10,2.685943686832718
Jumeriah Beach Residence  - JBR,XGB,14,3.324588173019623
Jumeriah Beach Residence  - JBR,XGB,18,3.743704433235397
Jumeriah Beach Residence  - JBR,XGB,22,3.6485948111489925
Jumeriah Beach Residence  - JBR,XGB,26,3.4681476427811937
Jumeriah Beach Residence  - JBR,XGB,30,3.0845119458266046
Jumeriah Beach Residence  - JBR,XGB,34,3.042084018888977
Mudon,XGB,2,1.2813414088303903
Mudon,XGB,6,1.3703675547049596
Mudon,XGB,10,1.4782090578663192
Mudon,XGB,14,1.70656205751914
Mudon,XGB,18,1.7509166291734821
Mudon,XGB,22,2.100475975205566
Mudon,XGB,26,2.3855034880390047
Mudon,XGB,30,2.259730620416734
Mudon,XGB,34,2.5323265736899256
Palm Jumeirah,XGB,2,3.578553111137132
Palm Jumeirah,XGB,6,5.441905243610531
Palm Jumeirah,XGB,10,4.984794488804839
Palm Jumeirah,XGB,14,4.747104840391079
Palm Jumeirah,XGB,18,5.6455148830303274
Palm Jumeirah,XGB,22,5.2442592914789365
Palm Jumeirah,XGB,26,5.722961114009326
Palm Jumeirah,XGB,30,5.040333897203331
Palm Jumeirah,XGB,34,5.072273706826724
Silicon Oasis,XGB,2,0.7493697319583611
Silicon Oasis,XGB,6,0.9326930289431751
Silicon Oasis,XGB,10,1.0202024160241094
Silicon Oasis,XGB,14,1.0609859653495524
Silicon Oasis,XGB,18,1.0856117637694696
Silicon Oasis,XGB,22,1.0414822907342571
Silicon Oasis,XGB,26,0.965342961102292
Silicon Oasis,XGB,30,0.8889718034105677
Silicon Oasis,XGB,34,0.8869230501816943
The Greens,XGB,2,1.3242068512384184
The Greens,XGB,6,1.4560973698677875
The Greens,XGB,10,1.3260623772941456
The Greens,XGB,14,1.4384512270692285
The Greens,XGB,18,1.5377053068516977
The Greens,XGB,22,1.7861631371475444
The Greens,XGB,26,1.54652563440973
The Greens,XGB,30,1.8418978398643389
The Greens,XGB,34,1.5360050105489715
